Country,"Recorded
consumption","Unrecorded
consumption",Total consumption,Beer,Wine,Spirits,Other,Total Male Drinkers,Total Female Drinkers,Total Drinkers
Afghanistan ,0,0.02,0.02,0,0,0.01,0,0,0,0
Albania ,4.58,2.1,6.68,1.61,0.94,2.3,0.02,0,0,0
Algeria ,0.66,0.3,0.96,0.09,0.07,0,0.5,26.5,15.6,22.6
Andorra ,14.08,1.4,15.48,3.93,5.69,3.14,0,27.7,20.4,25
Angola ,3.8,1.6,5.4,1.81,1.37,1.12,0.41,0,0,0
Antigua and Barbuda ,6.76,0.46,7.22,2.67,1.7,5.04,0.09,0,0,0
Argentina ,8,2,10,2.49,4.62,0.52,0.2,15.6,7.6,12.1
Armenia ,10.05,1.3,11.35,1.05,0.39,0.65,9.36,24.4,12.1,18.3
Australia ,9.89,0.13,10.02,4.56,3.12,1.16,1.02,16.3,7.2,11.9
Austria ,12.6,0.64,13.24,6.7,4.1,1.6,0.4,21.9,9.5,15.7
Azerbaijan ,7.3,3.3,10.6,7,0.03,0.97,0,0,0,0
Bahamas ,8.16,0.6,8.76,3.99,1.55,5.27,0.23,0,0,0
Bahrain ,3.56,0.1,3.66,1.91,0.52,1.24,0,0,0,0
Bangladesh ,0,0.17,0.17,0,0,0,0,4.6,3,4.5
Barbados ,6.41,0.5,6.91,2.9,0.73,3.78,0.17,19.1,13.7,16.9
Belarus ,11.22,3.91,15.13,1.84,0.8,4.08,2.67,28,11.3,19.2
Belgium ,9.77,1,10.77,5.49,3.55,0.62,0.03,17.5,7.8,12.8
Belize ,5.07,1,6.07,3.89,0.13,1.78,0.01,20.4,9.6,17.2
Benin ,1.15,1,2.15,0.49,0.14,0.15,0.3,4.2,2.7,3.7
Bhutan ,0.22,0.33,0.55,0.21,0,0,0,2.5,0.2,1.6
Bolivia (Plurinational State of) ,2.62,2.5,5.12,2.17,0.06,0.61,0,12.6,4.4,8.6
Bosnia and Herzegovina ,9.63,0,9.63,2.22,0.34,7.08,0,60.3,33,56
Botswana ,4.96,3,7.96,2.56,0.04,0,1.88,29.1,15,26.5
Brazil ,6.16,3,9.16,3.36,0.33,2.49,0.03,24.4,10.6,18.5
Brunei Darussalam ,1.76,0.25,2.01,1.67,0.02,0.05,0,0,0,0
Bulgaria ,11.24,1.2,12.44,3.53,2.44,4.88,0.1,22.9,9.3,17
Burkina Faso ,4.48,2.5,6.98,0.41,0.09,0.42,3.77,0,0,0
Burundi ,6.47,3,9.47,1.16,0.01,0,5.07,0,0,0
Cambodia ,1.77,3,4.77,0.74,0.02,1.21,0,0,0,0
Cameroon ,4.97,2.6,7.57,2.05,0.05,0,2.6,17.2,9.3,13.7
Canada ,7.77,2,9.77,4.1,1.5,2.1,0,18.2,7,12.6
Cape Verde ,2.06,2.9,4.96,0.36,1.99,0.14,0,11.6,7.6,10.3
Central African Republic ,1.65,1.7,3.35,0.21,0.02,0.03,1.37,0,0,0
Chad ,0.38,4,4.38,0.23,0.01,0.02,0.15,26.2,14.2,20.7
Chile ,6.55,2,8.55,2.03,2.59,2.16,0.04,16.7,8.2,12.7
China ,4.21,1.7,5.91,1.5,0.15,2.51,0.23,13.7,5.2,10.6
Colombia ,4.17,2,6.17,2.71,0.08,1.44,0.02,10.6,4.7,7.7
Comoros ,0.26,0.1,0.36,0.14,0.02,0.06,0,45.7,24.3,37
Congo ,2.04,2.23,4.2,1.76,0,0.11,0.12,14.3,7.1,11.3
Cook Islands ,3.2,0.5,3.7,0.54,1.39,3.45,0,7.6,2.3,6.3
Costa Rica ,4.15,1.4,5.55,2.29,0.18,1.71,0.02,11.4,7.8,10
Cote d'Ivoire ,4.48,2,6.48,0.61,0.33,0.05,3.55,31,16.5,27.3
Croatia ,12.61,2.5,15.11,4.66,5.8,1.91,0.14,32,18.8,26.3
Cuba ,4.41,1.1,5.51,1.48,0.05,2.94,0.01,13.9,6.6,11.8
Cyprus ,8.26,1,9.26,3.25,2.97,2.95,0.12,0,0,0
Czech Republic ,14.97,1.48,16.45,8.51,2.33,3.59,0.39,26.6,12.4,19.5
Democratic Republic of the Congo ,1.97,1.26,3.3,0.32,0.01,0.02,1.67,9,5.2,7.6
Denmark ,11.37,2,13.37,5.06,4.43,1.78,0,19.5,8.4,14.4
Djibouti ,1.37,0.5,1.87,0.24,0.08,1.35,0,0,0,0
Dominica ,7.34,0.5,7.84,0.5,0.8,6.69,0.07,16,10.4,13.3
Dominican Republic ,5.76,0.65,6.41,2.69,0.14,2.92,0.01,12.5,8.1,11.3
Ecuador ,4.01,5.37,9.38,2.3,0.07,1.69,0,22.8,33.4,29.9
Egypt ,0.27,0.1,0.37,0.1,0.02,0.06,0,35.2,18.2,33.6
El Salvador ,2.61,1,3.61,0.88,0.04,1.57,0,0,0,0
Equatorial Guinea ,5.31,0.77,6.08,0.45,4.18,0,0,0,0,0
Eritrea ,0.94,0.6,1.54,0.56,0,0.25,0,4.9,2.1,3.9
Estonia ,13.77,1.8,15.57,5.53,1.09,9.19,0.43,36.1,12.2,22
Ethiopia ,0.52,3.5,4.02,0.19,0.01,0.13,0.25,21.7,7.2,14.5
Fiji ,1.43,1,2.43,1.46,0.02,0.58,0,11,4.7,10.1
Finland ,9.72,2.8,12.52,4.59,2.24,2.82,0.31,20.6,8.7,14.2
France ,13.3,0.36,13.66,2.31,8.14,2.62,0.17,21.1,8.8,14.9
Gabon ,7.32,2,9.32,5.38,0.8,1.69,0,0,0,0
Gambia ,2.4,0.99,3.39,0.19,0.06,0.04,2.07,0,0,0
Georgia ,3.9,2.5,6.4,0.76,0.83,2.56,0.02,14.8,9.4,13.1
Germany ,11.81,1,12.81,6.22,3.15,2.3,0,19.5,7.8,13.4
Ghana ,1.47,1.5,2.97,0.4,0.07,0.03,0.97,12.5,6.9,10
Greece ,8.95,1.8,10.75,2.2,4.51,2.38,0.13,18.4,10.8,15
Grenada ,9.85,0.5,10.35,3.16,0.42,7.15,0.04,0,0,0
Guatemala ,2.43,1.6,4.03,1.12,3.92,1.2,0.05,18.8,10,17.7
Guinea ,0.26,0.5,0.76,0.17,0.02,0.03,0,0,0,0
Guinea-Bissau ,2.58,1.1,3.68,0.24,0.66,0.53,1.75,0,0,0
Guyana ,7.5,2,9.5,1.14,0.31,5.7,0.01,0,0,0
Haiti ,5.99,0.62,6.61,0.01,0.01,5.2,0,0,0,0
Honduras ,3.08,1.4,4.48,1.29,0.04,1.87,0,0,0,0
Hungary ,12.27,4,16.27,4.42,4.94,3.02,0.14,29.5,11,20
Iceland ,5.91,0.4,6.31,3.67,1.95,1.33,0.1,10.8,5,7.7
India ,0.55,2.04,2.59,0.06,0.02,0.5,0,23.9,10.4,22.3
Indonesia ,0.06,0.5,0.59,0.06,0,0,0,16.9,11.4,16.5
Iran (Islamic Republic of) ,0.02,1,1.02,0.02,0,0,0,0,0,0
Iraq ,0.2,0.2,0.4,0.14,0,0.07,0,25.3,14.8,24
Ireland ,13.39,1,14.41,7.04,2.75,2.51,1.09,26.2,12.2,19.3
Israel ,2.39,0.5,2.89,0.97,0.18,1.3,0.04,6.3,4.4,5.5
Italy ,8.33,2.35,10.68,1.73,6.38,0.42,0,17.1,8.2,13
Jamaica ,3.5,1.5,5,1.49,0.11,1.8,0.1,13.1,9.3,11.6
Japan ,7.83,0.2,8.03,1.72,0.29,3.37,2.61,13.8,5.8,9.9
Jordan ,0.41,0.3,0.71,0.04,0.01,0.34,0.01,0,0,0
Kazakhstan ,6.06,4.9,10.96,1.69,0.3,4.19,0.01,29.8,12.7,21.5
Kenya ,1.64,2.5,4.14,0.84,0.02,0.51,0.55,31.6,19,28.4
Kiribati ,1.71,2,3.71,1.56,0.02,0.02,0,12.2,5.9,7.4
Kuwait ,0,0.1,0.1,0,0,0,0,3.2,1.9,3.1
Kyrgyzstan ,3.19,1.9,5.09,0.45,0.1,2.26,0.01,12.8,6,10.4
Lao People's Democratic Republic ,5.73,1,6.73,1.42,0.03,4.35,0,20.8,9.1,17.2
Latvia ,9.5,3,12.5,3.61,1.1,6.24,0.1,24.9,9.7,16.5
Lebanon ,1.73,0.5,2.23,0.36,0.56,0.78,0.01,6.2,1.6,4.2
Lesotho ,1.9,3.65,5.55,1.24,0,0.01,0.69,18.7,10.5,16.2
Liberia ,3.47,1.59,5.06,0.3,0.01,3.16,0.01,0,0,0
Libyan Arab Jamahiriya ,0.01,0.1,0.11,0,0,0,0,0,0,0
Lithuania ,12.03,3,15.03,5.6,1.8,4.5,0.6,27.5,11.1,18.8
Luxembourg ,12.01,1,13.01,1.59,8.16,2,0,0,0,0
