Company,BrandGroup,Brand,Size
General Mills,Baking products,Betty Crocker,1
General Mills,Baking products,Bisquick,1
General Mills,Baking products,Gold Medal,1
General Mills,Baking products,Jus-Rol,1
General Mills,Baking products,Knack & Back,1
General Mills,Baking products,La Salteña,1
General Mills,Baking products,Pillsbury,1
General Mills,Baking products,Pillsbury Atta,1
General Mills,Baking products,Yoki,1
General Mills,Cereals,Big G cereals,1
General Mills,Cereals,Cascadian Farm,1
General Mills,Cereals,Cheerios,1
General Mills,Cereals,Chex,1
General Mills,Cereals,Cinnamon Toast Crunch,1
General Mills,Cereals,Fiber One,1
General Mills,Cereals,Kix,1
General Mills,Cereals,Lucky Charms,1
General Mills,Cereals,Monsters,1
General Mills,Cereals,Total,1
General Mills,Cereals,Trix,1
General Mills,Cereals,Wheaties,1
General Mills,Dough / Pastries,Jus-Rol,1
General Mills,Dough / Pastries,Knack & Back,1
General Mills,Dough / Pastries,Pillsbury,1
General Mills,Fruit,Cascadian Farm,1
General Mills,Ice Cream,Häagen-Dazs,1
General Mills,Meals,Betty Crocker,1
General Mills,Meals,Diablitos Underwood,1
General Mills,Meals,Good Earth,1
General Mills,Meals,Green Giant,1
General Mills,Meals,Hamburger Helper,1
General Mills,Meals,Macaroni Grill,1
General Mills,Meals,Old El Paso,1
General Mills,Meals,V.Pearl,1
General Mills,Meals,Wanchai Ferry,1
General Mills,Meals,Yoki,1
General Mills,Organic / natural,Cascadian Farm,1
General Mills,Organic / natural,Food Should Taste Good,1
General Mills,Organic / natural,Lärabar,1
General Mills,Organic / natural,Muir Glen,1
General Mills,Pasta,Frescarini,1
General Mills,Pasta,Latina,1
General Mills,Pasta,La Salteña,1
General Mills,Pasta,Wanchai Ferry,1
General Mills,Pizza,Totino's / Jeno's,1
General Mills,Snacks,Bugles,1
General Mills,Snacks,Cascadian Farm,1
General Mills,Snacks,Chex,1
General Mills,Snacks,Food Should Taste Good,1
General Mills,Snacks,Fiber One,1
General Mills,Snacks,Fruit Snacks,1
General Mills,Snacks,Gardetto's,1
General Mills,Snacks,Lärabar,1
General Mills,Snacks,Nature Valley,1
General Mills,Snacks,Yoki,1
General Mills,Soup,Muir Glen,1
General Mills,Soup,Progresso,1
General Mills,Vegetables,Cascadian Farm,1
General Mills,Vegetables,Green Giant,1
General Mills,Vegetables,Muir Glen,1
General Mills,Yogurt,Liberté,1
General Mills,Yogurt,Mountain High,1
General Mills,Yogurt,Yoplait,1
General Mills,Yogurt,Yoplait France,1
Reckitt Benckiser Group ,Powerbrands,Vanish,1
Reckitt Benckiser Group ,Powerbrands,Calgon,1
Reckitt Benckiser Group ,Powerbrands,Woolite,1
Reckitt Benckiser Group ,Powerbrands,Lysol,1
Reckitt Benckiser Group ,Powerbrands,Dettol,1
Reckitt Benckiser Group ,Powerbrands,Durex,1
Reckitt Benckiser Group ,Powerbrands,Scholl,1
Reckitt Benckiser Group ,Powerbrands,Cillit Bang,1
Reckitt Benckiser Group ,Powerbrands,Harpic,1
Reckitt Benckiser Group ,Powerbrands,Finish,1
Reckitt Benckiser Group ,Powerbrands,Air Wick,1
Reckitt Benckiser Group ,Powerbrands,Mortein,1
Reckitt Benckiser Group ,Powerbrands,Strepsils,1
Reckitt Benckiser Group ,Powerbrands,Mucinex,1
Reckitt Benckiser Group ,Powerbrands,Nurofen,1
Reckitt Benckiser Group ,Powerbrands,Gaviscon,1
Reckitt Benckiser Group ,Powerbrands,Veet,1
Reckitt Benckiser Group ,Powerbrands,Clearasil,1
Reckitt Benckiser Group ,Powerbrands,French's,1
Reckitt Benckiser Group ,Other,Aerogard,1
Reckitt Benckiser Group ,Other,Amphyl,1
Reckitt Benckiser Group ,Other,Bonjela,1
Reckitt Benckiser Group ,Other,Brasso,1
Reckitt Benckiser Group ,Other,Brio,1
Reckitt Benckiser Group ,Other,Bryza,1
Reckitt Benckiser Group ,Other,Calgonit,1
Reckitt Benckiser Group ,Other,Cattlemen's,1
Reckitt Benckiser Group ,Other,Ceraclen,1
Reckitt Benckiser Group ,Other,Cherry Blossom,1
Reckitt Benckiser Group ,Other,Clean and Smooth,1
Reckitt Benckiser Group ,Other,Cling,1
Reckitt Benckiser Group ,Other,Cling Free,1
Reckitt Benckiser Group ,Other,Cobra Brilliant Shiner,1
Reckitt Benckiser Group ,Other,Colon,1
Reckitt Benckiser Group ,Other,d-Con,1
Reckitt Benckiser Group ,Other,Coral,1
Reckitt Benckiser Group ,Other,dip-it,1
Reckitt Benckiser Group ,Other,Disprin,1
Reckitt Benckiser Group ,Other,Dosia,1
Reckitt Benckiser Group ,Other,Easy-Off,1
Reckitt Benckiser Group ,Other,Easy On,1
Reckitt Benckiser Group ,Other,Elena,1
Reckitt Benckiser Group ,Other,Frank's RedHot,1
Reckitt Benckiser Group ,Other,French's Foods,1
Reckitt Benckiser Group ,Other,Glass Mates,1
Reckitt Benckiser Group ,Other,Glass Plus,1
Reckitt Benckiser Group ,Other,Glassex,1
Reckitt Benckiser Group ,Other,Hoffmann's,1
Reckitt Benckiser Group ,Other,Intima Liasan / Intima Bidex,1
Reckitt Benckiser Group ,Other,Kalia,1
Reckitt Benckiser Group ,Other,Kaltron,1
Reckitt Benckiser Group ,Other,Lanacane,1
Reckitt Benckiser Group ,Other,Lanacort,1
Reckitt Benckiser Group ,Other,Lanza,1
Reckitt Benckiser Group ,Other,Lemsip,1
Reckitt Benckiser Group ,Other,Lewis Red Devil,1
Reckitt Benckiser Group ,Other,Lime-A-Way,1
Reckitt Benckiser Group ,Other,Lovela,1
Reckitt Benckiser Group ,Other,Masterpiece Metalist,1
Reckitt Benckiser Group ,Other,Mop & Glo,1
Reckitt Benckiser Group ,Other,Mr. Sheen,1
Reckitt Benckiser Group ,Other,Mr. Min,1
Reckitt Benckiser Group ,Other,Nenuco,1
Reckitt Benckiser Group ,Other,Neutra-Air,1
Reckitt Benckiser Group ,Other,NoSalt,1
Reckitt Benckiser Group ,Other,Noxon,1
Reckitt Benckiser Group ,Other,Nugget,1
Reckitt Benckiser Group ,Other,Nurofen for Children,1
Reckitt Benckiser Group ,Other,Old English,1
Reckitt Benckiser Group ,Other,Perk,1
Reckitt Benckiser Group ,Other,Poliflor Pratic,1
Reckitt Benckiser Group ,Other,Poliflor Maximo Brilho,1
Reckitt Benckiser Group ,Other,Precision Blend,1
Reckitt Benckiser Group ,Other,Quanto,1
Reckitt Benckiser Group ,Other,Resolve,1
Reckitt Benckiser Group ,Other,Rid-X,1
Reckitt Benckiser Group ,Other,Robin Blue,1
Reckitt Benckiser Group ,Other,Sagrotan,1
Reckitt Benckiser Group ,Other,Sani Flush,1
Reckitt Benckiser Group ,Other,Senokot,1
Reckitt Benckiser Group ,Other,Silvo,1
Reckitt Benckiser Group ,Other,Sipuro,1
Reckitt Benckiser Group ,Other,Spray 'n Starch,1
Reckitt Benckiser Group ,Other,Suboxone,1
Reckitt Benckiser Group ,Other,Vani-Sol,1
Reckitt Benckiser Group ,Other,Vitroclen,1
Reckitt Benckiser Group ,Other,Vivid,1
Reckitt Benckiser Group ,Other,Wenol,1
Reckitt Benckiser Group ,Other,Windolene,1
Reckitt Benckiser Group ,Other,Wizard,1
Reckitt Benckiser Group ,Other,Yes,1
