rank,name,imdbLink,year,rating,votes
1,The Shawshank Redemption,http://www.imdb.com/title/tt0111161/?ref_=chttp_tt_1,1994,9.2,"9.2 based on 1,079,216 votes"
2,The Godfather,http://www.imdb.com/title/tt0068646/?ref_=chttp_tt_2,1972,9.2,"9.2 based on 756,065 votes"
3,The Godfather: Part II,http://www.imdb.com/title/tt0071562/?ref_=chttp_tt_3,1974,9,"9.0 based on 492,865 votes"
4,Pulp Fiction,http://www.imdb.com/title/tt0110912/?ref_=chttp_tt_4,1994,8.9,"8.9 based on 837,219 votes"
5,"The Good, the Bad and the Ugly",http://www.imdb.com/title/tt0060196/?ref_=chttp_tt_5,1966,8.9,"8.9 based on 325,670 votes"
6,The Dark Knight,http://www.imdb.com/title/tt0468569/?ref_=chttp_tt_6,2008,8.9,"8.9 based on 1,052,824 votes"
7,12 Angry Men,http://www.imdb.com/title/tt0050083/?ref_=chttp_tt_7,1957,8.9,"8.9 based on 266,756 votes"
8,Schindler's List,http://www.imdb.com/title/tt0108052/?ref_=chttp_tt_8,1993,8.9,"8.9 based on 550,068 votes"
9,The Lord of the Rings: The Return of the King,http://www.imdb.com/title/tt0167260/?ref_=chttp_tt_9,2003,8.8,"8.8 based on 764,643 votes"
10,Fight Club,http://www.imdb.com/title/tt0137523/?ref_=chttp_tt_10,1999,8.8,"8.8 based on 821,323 votes"
11,Star Wars: Episode V - The Empire Strikes Back,http://www.imdb.com/title/tt0080684/?ref_=chttp_tt_11,1980,8.8,"8.8 based on 523,385 votes"
12,The Lord of the Rings: The Fellowship of the Ring,http://www.imdb.com/title/tt0120737/?ref_=chttp_tt_12,2001,8.8,"8.8 based on 791,099 votes"
13,One Flew Over the Cuckoo's Nest,http://www.imdb.com/title/tt0073486/?ref_=chttp_tt_13,1975,8.7,"8.7 based on 450,482 votes"
14,Goodfellas,http://www.imdb.com/title/tt0099685/?ref_=chttp_tt_14,1990,8.7,"8.7 based on 469,223 votes"
15,Seven Samurai,http://www.imdb.com/title/tt0047478/?ref_=chttp_tt_15,1954,8.7,"8.7 based on 162,761 votes"
16,Inception,http://www.imdb.com/title/tt1375666/?ref_=chttp_tt_16,2010,8.7,"8.7 based on 850,118 votes"
17,Star Wars: Episode IV - A New Hope,http://www.imdb.com/title/tt0076759/?ref_=chttp_tt_17,1977,8.7,"8.7 based on 588,700 votes"
18,Forrest Gump,http://www.imdb.com/title/tt0109830/?ref_=chttp_tt_18,1994,8.7,"8.7 based on 718,779 votes"
19,The Matrix,http://www.imdb.com/title/tt0133093/?ref_=chttp_tt_19,1999,8.7,"8.7 based on 776,788 votes"
20,The Lord of the Rings: The Two Towers,http://www.imdb.com/title/tt0167261/?ref_=chttp_tt_20,2002,8.7,"8.7 based on 686,516 votes"
21,City of God,http://www.imdb.com/title/tt0317248/?ref_=chttp_tt_21,2002,8.6,"8.6 based on 352,763 votes"
22,Once Upon a Time in the West,http://www.imdb.com/title/tt0064116/?ref_=chttp_tt_22,1968,8.6,"8.6 based on 146,810 votes"
23,The Silence of the Lambs,http://www.imdb.com/title/tt0102926/?ref_=chttp_tt_23,1991,8.6,"8.6 based on 532,664 votes"
24,Se7en,http://www.imdb.com/title/tt0114369/?ref_=chttp_tt_24,1995,8.6,"8.6 based on 630,988 votes"
25,Casablanca,http://www.imdb.com/title/tt0034583/?ref_=chttp_tt_25,1942,8.6,"8.6 based on 280,079 votes"
26,The Usual Suspects,http://www.imdb.com/title/tt0114814/?ref_=chttp_tt_26,1995,8.6,"8.6 based on 484,970 votes"
27,Raiders of the Lost Ark,http://www.imdb.com/title/tt0082971/?ref_=chttp_tt_27,1981,8.6,"8.6 based on 442,486 votes"
28,Rear Window,http://www.imdb.com/title/tt0047396/?ref_=chttp_tt_28,1954,8.6,"8.6 based on 214,538 votes"
29,It's a Wonderful Life,http://www.imdb.com/title/tt0038650/?ref_=chttp_tt_29,1946,8.6,"8.6 based on 181,018 votes"
30,Psycho,http://www.imdb.com/title/tt0054215/?ref_=chttp_tt_30,1960,8.6,"8.6 based on 274,393 votes"
31,Léon: The Professional,http://www.imdb.com/title/tt0110413/?ref_=chttp_tt_31,1994,8.6,"8.6 based on 458,574 votes"
32,Sunset Blvd.,http://www.imdb.com/title/tt0043014/?ref_=chttp_tt_32,1950,8.5,"8.5 based on 96,224 votes"
33,American History X,http://www.imdb.com/title/tt0120586/?ref_=chttp_tt_33,1998,8.5,"8.5 based on 500,344 votes"
34,Memento,http://www.imdb.com/title/tt0209144/?ref_=chttp_tt_34,2000,8.5,"8.5 based on 561,342 votes"
35,Terminator 2: Judgment Day,http://www.imdb.com/title/tt0103064/?ref_=chttp_tt_35,1991,8.5,"8.5 based on 483,661 votes"
36,Apocalypse Now,http://www.imdb.com/title/tt0078788/?ref_=chttp_tt_36,1979,8.5,"8.5 based on 311,541 votes"
37,Saving Private Ryan,http://www.imdb.com/title/tt0120815/?ref_=chttp_tt_37,1998,8.5,"8.5 based on 551,379 votes"
38,City Lights,http://www.imdb.com/title/tt0021749/?ref_=chttp_tt_38,1931,8.5,"8.5 based on 63,508 votes"
39,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,http://www.imdb.com/title/tt0057012/?ref_=chttp_tt_39,1964,8.5,"8.5 based on 250,258 votes"
40,Alien,http://www.imdb.com/title/tt0078748/?ref_=chttp_tt_40,1979,8.5,"8.5 based on 363,055 votes"
41,Spirited Away,http://www.imdb.com/title/tt0245429/?ref_=chttp_tt_41,2001,8.5,"8.5 based on 246,889 votes"
42,Modern Times,http://www.imdb.com/title/tt0027977/?ref_=chttp_tt_42,1936,8.5,"8.5 based on 81,112 votes"
43,North by Northwest,http://www.imdb.com/title/tt0053125/?ref_=chttp_tt_43,1959,8.5,"8.5 based on 156,630 votes"
44,Gravity,http://www.imdb.com/title/tt1454468/?ref_=chttp_tt_44,2013,8.5,"8.5 based on 107,842 votes"
45,Back to the Future,http://www.imdb.com/title/tt0088763/?ref_=chttp_tt_45,1985,8.5,"8.5 based on 437,572 votes"
46,Life Is Beautiful,http://www.imdb.com/title/tt0118799/?ref_=chttp_tt_46,1997,8.5,"8.5 based on 239,910 votes"
47,The Pianist,http://www.imdb.com/title/tt0253474/?ref_=chttp_tt_47,2002,8.4,"8.4 based on 300,017 votes"
48,Citizen Kane,http://www.imdb.com/title/tt0033467/?ref_=chttp_tt_48,1941,8.4,"8.4 based on 217,469 votes"
49,The Shining,http://www.imdb.com/title/tt0081505/?ref_=chttp_tt_49,1980,8.4,"8.4 based on 383,702 votes"
50,M,http://www.imdb.com/title/tt0022100/?ref_=chttp_tt_50,1931,8.4,"8.4 based on 69,284 votes"
51,The Departed,http://www.imdb.com/title/tt0407887/?ref_=chttp_tt_51,2006,8.4,"8.4 based on 544,831 votes"
52,Paths of Glory,http://www.imdb.com/title/tt0050825/?ref_=chttp_tt_52,1957,8.4,"8.4 based on 79,374 votes"
53,Vertigo,http://www.imdb.com/title/tt0052357/?ref_=chttp_tt_53,1958,8.4,"8.4 based on 164,019 votes"
54,The Intouchables,http://www.imdb.com/title/tt1675434/?ref_=chttp_tt_54,2011,8.4,"8.4 based on 229,382 votes"
55,American Beauty,http://www.imdb.com/title/tt0169547/?ref_=chttp_tt_55,1999,8.4,"8.4 based on 559,628 votes"
56,Django Unchained,http://www.imdb.com/title/tt1853728/?ref_=chttp_tt_56,2012,8.4,"8.4 based on 464,352 votes"
57,The Dark Knight Rises,http://www.imdb.com/title/tt1345836/?ref_=chttp_tt_57,2012,8.4,"8.4 based on 682,810 votes"
58,Gladiator,http://www.imdb.com/title/tt0172495/?ref_=chttp_tt_58,2000,8.4,"8.4 based on 603,321 votes"
59,The Green Mile,http://www.imdb.com/title/tt0120689/?ref_=chttp_tt_59,1999,8.4,"8.4 based on 452,243 votes"
60,Aliens,http://www.imdb.com/title/tt0090605/?ref_=chttp_tt_60,1986,8.4,"8.4 based on 328,261 votes"
61,Double Indemnity,http://www.imdb.com/title/tt0036775/?ref_=chttp_tt_61,1944,8.4,"8.4 based on 66,707 votes"
62,Taxi Driver,http://www.imdb.com/title/tt0075314/?ref_=chttp_tt_62,1976,8.4,"8.4 based on 323,605 votes"
63,WALL·E,http://www.imdb.com/title/tt0910970/?ref_=chttp_tt_63,2008,8.4,"8.4 based on 434,640 votes"
64,The Lives of Others,http://www.imdb.com/title/tt0405094/?ref_=chttp_tt_64,2006,8.4,"8.4 based on 169,419 votes"
65,Toy Story 3,http://www.imdb.com/title/tt0435761/?ref_=chttp_tt_65,2010,8.4,"8.4 based on 323,167 votes"
66,The Great Dictator,http://www.imdb.com/title/tt0032553/?ref_=chttp_tt_66,1940,8.4,"8.4 based on 79,169 votes"
67,The Prestige,http://www.imdb.com/title/tt0482571/?ref_=chttp_tt_67,2006,8.4,"8.4 based on 502,855 votes"
68,Amélie,http://www.imdb.com/title/tt0211915/?ref_=chttp_tt_68,2001,8.4,"8.4 based on 353,410 votes"
