rank	name	year	rating	votes	imglink	imdbLink
1	The Shawshank Redemption	1994	9.2	1119644	"http://ia.media-imdb.com/images/M/MV5BODU4MjU4NjIwNl5BMl5BanBnXkFtZTgwMDU2MjEyMDE@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0111161/?ref_=chttp_tt_1
2	The Godfather	1972	9.2	782064	"http://ia.media-imdb.com/images/M/MV5BMjEyMjcyNDI4MF5BMl5BanBnXkFtZTcwMDA5Mzg3OA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0068646/?ref_=chttp_tt_2
3	The Godfather: Part II	1974	9	511671	"http://ia.media-imdb.com/images/M/MV5BNDc2NTM3MzU1Nl5BMl5BanBnXkFtZTcwMTA5Mzg3OA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0071562/?ref_=chttp_tt_3
4	Pulp Fiction	1994	8.9	867209	"http://ia.media-imdb.com/images/M/MV5BMjE0ODk2NjczOV5BMl5BanBnXkFtZTYwNDQ0NDg4._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0110912/?ref_=chttp_tt_4
5	"The Good, the Bad and the Ugly"	1966	8.9	337220	"http://ia.media-imdb.com/images/M/MV5BMjIxNjYwNDMzMl5BMl5BanBnXkFtZTcwODA5Mzg3OA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0060196/?ref_=chttp_tt_5
6	The Dark Knight	2008	8.9	1091509	"http://ia.media-imdb.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0468569/?ref_=chttp_tt_6
7	12 Angry Men	1957	8.9	277030	"http://ia.media-imdb.com/images/M/MV5BODQwOTc5MDM2N15BMl5BanBnXkFtZTcwODQxNTEzNA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0050083/?ref_=chttp_tt_7
8	Schindler's List	1993	8.9	569793	"http://ia.media-imdb.com/images/M/MV5BMzMwMTM4MDU2N15BMl5BanBnXkFtZTgwMzQ0MjMxMDE@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0108052/?ref_=chttp_tt_8
9	The Lord of the Rings: The Return of the King	2003	8.9	801148	"http://ia.media-imdb.com/images/M/MV5BMjE4MjA1NTAyMV5BMl5BanBnXkFtZTcwNzM1NDQyMQ@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0167260/?ref_=chttp_tt_9
10	Fight Club	1999	8.8	853442	"http://ia.media-imdb.com/images/M/MV5BMjIwNTYzMzE1M15BMl5BanBnXkFtZTcwOTE5Mzg3OA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0137523/?ref_=chttp_tt_10
11	The Lord of the Rings: The Fellowship of the Ring	2001	8.8	827724	"http://ia.media-imdb.com/images/M/MV5BNTEyMjAwMDU1OV5BMl5BanBnXkFtZTcwNDQyNTkxMw@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0120737/?ref_=chttp_tt_11
12	Star Wars: Episode V - The Empire Strikes Back	1980	8.8	539957	"http://ia.media-imdb.com/images/M/MV5BMjE2MzQwMTgxN15BMl5BanBnXkFtZTcwMDQzNjk2OQ@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0080684/?ref_=chttp_tt_12
13	One Flew Over the Cuckoo's Nest	1975	8.7	467474	"http://ia.media-imdb.com/images/M/MV5BMTk5OTA4NTc0NF5BMl5BanBnXkFtZTcwNzI5Mzg3OA@@._V1_SY50_CR2,0,34,50_.jpg"	/title/tt0073486/?ref_=chttp_tt_13
14	Inception	2010	8.7	886792	"http://ia.media-imdb.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt1375666/?ref_=chttp_tt_14
15	Forrest Gump	1994	8.7	751453	"http://ia.media-imdb.com/images/M/MV5BMTQwMTA5MzI1MF5BMl5BanBnXkFtZTcwMzY5Mzg3OA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0109830/?ref_=chttp_tt_15
